time,place,magnitude,latitude,longitude,province
2024-12-30 20:30:29.771,"18 km ESE of Ulaş, Turkey",4.3,39.3751,37.2314,Sivas
2024-12-30 02:25:16.912,"22 km ESE of Elmalı, Turkey",4.1,36.687,30.1626,Antalya
2024-12-29 08:02:09.337,"11 km SSE of Palekastro, Greece",4.5,35.1088,26.3233,
2024-12-29 00:15:14.579,"25 km SE of Fry, Greece",4.1,35.2643,27.1302,
2024-12-19 01:58:41.767,"17 km W of Baklan, Turkey",4.1,37.9621,29.4149,Denizli
2024-12-18 00:01:24.748,"13 km W of Gözler, Turkey",4.1,38.1155,28.9946,Denizli
2024-12-16 22:33:44.904,"31 km SW of Mandráki, Greece",4.2,36.3898,26.9074,
2024-12-12 14:20:25.225,"6 km WNW of Hawe Ben Alean, Iraq",4.3,35.2913,43.3111,
2024-12-12 11:34:52.405,"32 km NNW of Eceabat, Turkey",4.2,40.444,26.1945,
2024-12-04 09:09:10.259,"67 km SW of Gazipaşa, Turkey",4.8,35.9165,31.7105,
2024-11-29 19:13:15.546,"65 km WSW of Gazipaşa, Turkey",4.8,35.9421,31.7094,
2024-11-27 02:56:43.769,"7 km NW of Hizan, Turkey",4.2,38.2637,42.3504,Bitlis
2024-11-27 02:50:08.041,"12 km N of Hizan, Turkey",4.2,38.3386,42.3942,Bitlis
2024-11-25 17:20:05.286,"8 km NW of Doğanşehir, Turkey",4.4,38.1445,37.8158,Malatya
2024-11-24 01:48:00.868,"20 km WSW of Kağızman, Turkey",4.2,40.1087,42.9051,Kars
2024-11-22 09:29:49.069,"38 km SSW of Kéfalos, Greece",4.6,36.4388,26.7603,
2024-11-15 09:02:01.836,"2 km WNW of Nurluca, Turkey",4.5,41.0371,40.882,Rize
2024-11-15 07:46:20.265,"15 km E of Nurhak, Turkey",4.9,37.9554,37.6128,Kahramanmaraş
2024-11-11 08:27:55.035,"25 km ESE of Yapraklı, Turkey",4.1,40.6764,34.0556,Çorum
2024-11-09 17:11:26.815,"15 km WSW of Doğanyol, Turkey",4.1,38.2678,38.859,Malatya
2024-11-08 14:04:01.624,"21 km SSW of Kovancılar, Turkey",5.1,38.5535,39.7334,Elazığ
2024-11-02 22:58:32.796,"3 km ENE of Sincik, Turkey",3.9,38.0426,38.6472,Adıyaman
2024-11-01 14:46:04.206,"67 km SSW of Kalkan, Turkey",4.1,35.6839,29.186,
2024-10-28 16:40:10.636,"26 km SSE of Leonárisso, Cyprus",4.2,35.2621,34.2826,
2024-10-27 17:07:10.334,"21 km SSE of Feke, Turkey",4.9,37.6308,36.0057,Adana
2024-10-27 14:56:01.194,"9 km NNW of Mantamádos, Greece",4.0,39.3855,26.2962,
2024-10-19 11:41:10.568,"18 km NW of Pazarcık, Turkey",4.5,37.5967,37.1395,Kahramanmaraş
2024-10-17 08:39:08.405,"21 km S of Hafik, Turkey",4.3,39.6631,37.3568,Sivas
2024-10-17 08:29:57.386,"23 km S of Hafik, Turkey",4.5,39.6516,37.3342,Sivas
2024-10-16 07:46:32.516,"19 km W of Doğanyol, Turkey",6.0,38.3115,38.8059,Malatya
2024-10-15 16:54:21.860,"87 km SE of Lárdos, Greece",4.6,35.5373,28.7063,
2024-10-15 11:17:01.200,"14 km W of Kuluncak, Turkey",4.0,38.8613,37.4935,Sivas
2024-10-14 21:05:51.637,"13 km ENE of Doğanyol, Turkey",4.3,38.3732,39.1691,Elazığ
2024-10-13 00:14:33.276,"9 km WNW of Afyonkarahisar, Turkey",4.3,38.7956,30.4444,Afyon
2024-10-06 12:08:40.546,"17 km SW of Eresós, Greece",4.1,39.0768,25.7743,
2024-10-04 05:57:19.724,"32 km NW of Karapınar, Turkey",4.5,37.907,33.2723,Konya
2024-10-01 11:49:05.099,"21 km SW of Polichnítos, Greece",4.2,38.9406,26.0162,
2024-09-25 11:50:04.399,"16 km E of Hizan, Turkey",4.4,38.2303,42.6099,Bitlis
2024-09-20 10:57:52.533,"25 km ENE of Mesariá, Greece",4.3,36.4555,25.7211,
2024-09-18 00:22:24.091,"13 km ENE of Çelikhan, Turkey",4.1,38.0659,38.3812,Adıyaman
2024-09-17 22:38:42.320,"9 km NE of Sincik, Turkey",4.1,38.1048,38.6755,Malatya
2024-09-13 06:48:51.774,"29 km S of Şiran, Turkey",4.3,39.9259,39.145,Erzincan
2024-09-11 00:36:32.863,"8 km NE of Akhisar, Turkey",4.1,38.9731,27.9101,Manisa
2024-09-07 06:31:10.994,"28 km SW of Pazarcık, Turkey",5.0,37.3103,37.0627,Kahramanmaraş
2024-09-06 01:05:31.478,"26 km SW of Mandráki, Greece",4.2,36.4512,26.9137,
2024-08-23 07:28:13.194,"32 km N of Astypálaia, Greece",4.1,36.8389,26.4035,
2024-08-22 00:19:24.316,"35 km ENE of Karpathos, Greece",4.3,35.6516,27.5603,
