time,place,magnitude,latitude,longitude,depth_km
2020-12-30 23:41:35.760,"33 km NW of Stanley, Idaho",1.76,44.4606667,-115.197,4.58
2020-12-30 23:34:29.069,"19 km N of Skwentna, Alaska",1.4,62.1634,-151.4463,90.3
2020-12-30 23:33:38.860,"8km WNW of Cobb, CA",1.36,38.8546667,-122.8116667,0.94
2020-12-30 23:33:37.330,"8km WNW of Cobb, CA",1.4,38.8556667,-122.8103333,0.93
2020-12-30 23:31:29.361,"39 km SSE of Adak, Alaska",1.6,51.5579,-176.3807,33.5
2020-12-30 23:22:16.310,"3km W of Costa Mesa, CA",1.13,33.6626667,-117.9463333,11.55
2020-12-30 23:16:58.700,Nevada,1.4,38.1752,-117.9455,6.7
2020-12-30 23:14:58.960,"8 km SSE of Maria Antonia, Puerto Rico",2.53,17.9143,-66.8536,12.0
2020-12-30 23:05:37.140,"24km ENE of Thermal, CA",1.21,33.7561667,-115.9225,3.77
2020-12-30 23:03:00.251,"38 km SW of Sarangani, Philippines",4.6,5.1231,125.2581,54.13
2020-12-30 22:53:11.289,"10 km NNE of Quinlan, Oklahoma",1.78,36.531,-98.98283333,7.71
2020-12-30 22:49:28.540,"5 km SW of La Parguera, Puerto Rico",2.74,17.9433,-67.0918,7.0
2020-12-30 22:42:49.420,"16km SSE of Bodfish, CA",1.1,35.4521667,-118.4388333,5.22
2020-12-30 22:41:01.550,"2 km SSW of Ravensdale, Washington",2.25,47.332,-121.998666666667,19.7
2020-12-30 22:36:54.940,"24km ENE of Thermal, CA",2.4,33.7525,-115.9195,3.87
2020-12-30 22:32:44.520,"15km NNE of Morgan Hill, CA",1.42,37.2588333,-121.6161667,8.66
2020-12-30 22:30:34.439,"39 km NE of Pedro Bay, Alaska",1.9,59.989,-153.5241,134.7
2020-12-30 22:24:16.310,"32 km SE of Mina, Nevada",1.0,38.1625,-117.8728,5.9
2020-12-30 22:19:02.444,"13 km N of Minto, Alaska",1.4,65.2697,-149.3875,14.9
2020-12-30 22:10:47.950,"10 km NE of Quinlan, Oklahoma",1.28,36.52983333,-98.98216667,7.97
2020-12-30 22:10:25.239,"10 km NE of Quinlan, Oklahoma",1.39,36.53033333,-98.97933333,7.61
2020-12-30 22:06:45.510,"6 km E of P?hala, Hawaii",1.99000001,19.2145004272461,-155.414169311523,31.9099998474121
2020-12-30 22:04:12.852,"44 km WNW of Clam Gulch, Alaska",1.8,60.3861,-152.1439,85.3
2020-12-30 22:02:39.550,"18 km WNW of Stanley, Idaho",1.7,44.3051667,-115.1396667,6.32
2020-12-30 22:01:05.940,"16 km NE of Georgetown, Idaho",1.96,42.5693333,-111.2115,1.55
2020-12-30 21:58:16.073,north of Ascension Island,4.7,-1.2508,-13.6612,10.0
2020-12-30 21:51:53.320,"3 km W of Ponderosa Pines, Montana",1.13,46.0318333,-111.4058333,5.85
2020-12-30 21:51:09.211,"41 km WNW of Beluga, Alaska",1.8,61.2478,-151.8254,91.5
2020-12-30 21:51:06.704,"85 km SSE of Sand Point, Alaska",2.5,54.6724,-159.8384,28.23
2020-12-30 21:48:11.330,"27 km S of Ennis, Montana",1.16,45.1045,-111.7068333,-2.0
2020-12-30 21:47:56.830,"32 km SE of Mina, Nevada",1.1,38.1665,-117.8743,7.9
2020-12-30 21:41:10.540,"139 km N of Cruz Bay, U.S. Virgin Islands",3.63,19.578,-64.5848,24.0
2020-12-30 21:29:41.170,"6 km WSW of La Parguera, Puerto Rico",3.06,17.9591,-67.1025,9.0
2020-12-30 21:27:32.633,"40 km E of Baganga, Philippines",4.6,7.6359,126.9172,53.27
2020-12-30 21:27:01.460,"41 km W of Hebgen Lake Estates, Montana",1.14,44.7903333,-111.7108333,8.0
2020-12-30 21:25:02.536,"86 km SSE of Sand Point, Alaska",2.8,54.6597,-159.8291,23.84
2020-12-30 21:24:38.610,"24km ENE of Thermal, CA",1.5,33.7538333,-115.92,5.3
2020-12-30 21:24:35.480,"23km ENE of Thermal, CA",1.14,33.75,-115.9281667,3.66
2020-12-30 21:17:07.380,"24km ENE of Thermal, CA",1.19,33.7503333,-115.9223333,5.11
2020-12-30 21:04:31.350,"79 km SSW of Atka, Alaska",1.9,51.5011,-174.4463,25.6
2020-12-30 21:04:24.830,"33 km NW of Benton, California",1.2,38.0432,-118.7385,0.9
2020-12-30 20:59:17.370,"4km NE of Tres Pinos, CA",2.01,36.817,-121.2816667,6.5
2020-12-30 20:57:15.530,"7 km SW of La Parguera, Puerto Rico",2.14,17.929,-67.0946,10.0
2020-12-30 20:56:41.560,"40km NNE of Toms Place, CA",1.87,37.9095,-118.562,-1.64
2020-12-30 20:56:12.313,"70 km S of Kokhanok, Alaska",2.7,58.8061,-154.8322,127.0
2020-12-30 20:51:23.220,"8km WNW of Cobb, CA",1.39,38.836,-122.8078333,2.15
2020-12-30 20:50:27.680,"26 km WSW of Susitna, Alaska",1.7,61.4103,-150.9338,62.4
2020-12-30 20:48:20.473,"91 km SSE of Sand Point, Alaska",2.0,54.6233,-159.7737,20.1
2020-12-30 20:48:06.470,"35 km SE of Mina, Nevada",1.2,38.1722,-117.8142,10.4
2020-12-30 20:46:02.352,"27 km SW of Cooper Landing, Alaska",1.8,60.2847,-150.107,31.1
2020-12-30 20:43:28.730,"24km ENE of Thermal, CA",1.66,33.7561667,-115.921,5.12
2020-12-30 20:43:24.880,"24km ENE of Thermal, CA",1.25,33.7521667,-115.9201667,5.96
2020-12-30 20:41:16.570,"40km NNE of Toms Place, CA",2.38,37.9068333,-118.5541667,2.08
2020-12-30 20:30:35.520,"24 km S of Mina, Nevada",1.4,38.1725,-118.068,6.9
2020-12-30 20:29:33.321,"208 km NNE of Lospalos, Timor Leste",4.5,-6.6907,127.4441,393.38
2020-12-30 20:26:51.694,"52 km S of Denali National Park, Alaska",1.0,63.0785,-151.5237,14.4
2020-12-30 20:25:22.200,"11 km WSW of Stanley, Idaho",2.05,44.192,-115.0763333,11.08
2020-12-30 20:14:38.679,"10 km NE of Quinlan, Oklahoma",1.71,36.52966667,-98.9795,7.75
2020-12-30 19:53:43.740,"10km SSE of Tehachapi, CA",1.67,35.0463333,-118.4176667,6.41
2020-12-30 19:53:26.033,"30 km SSE of Mina, Nevada",2.4,38.1383,-117.9745,9.7
2020-12-30 19:52:39.240,"10 km NE of Quinlan, Oklahoma",1.39,36.5295,-98.9795,7.88
2020-12-30 19:36:05.266,"38 km SSW of Finschhafen, Papua New Guinea",4.5,-6.8738,147.6965,68.44
2020-12-30 19:30:07.740,"24 km NW of Stanley, Idaho",1.57,44.3505,-115.1876667,5.78
2020-12-30 19:12:50.077,"63 km W of Tyonek, Alaska",1.5,61.1525,-152.3061,7.1
2020-12-30 19:12:45.405,"35 km SE of Mina, Nevada",1.5,38.1683,-117.8163,1.6
2020-12-30 19:12:09.810,"30 km SSE of Mina, Nevada",1.4,38.131,-118.0023,11.7
2020-12-30 19:10:20.656,"163 km NNW of Ambon, Indonesia",4.8,-2.3988,127.4859,16.42
2020-12-30 19:08:51.438,"40 km SSE of False Pass, Alaska",2.7,54.4971,-163.2621,12.17
2020-12-30 18:49:11.990,"13 km SE of Waikoloa, Hawaii",2.1,19.8553333333333,-155.6925,33.85
2020-12-30 18:46:35.051,"134 km SSE of Sand Point, Alaska",2.1,54.1897,-159.8292,18.9
2020-12-30 18:35:43.766,"86 km SSE of Sand Point, Alaska",1.9,54.6261,-159.9517,6.7
2020-12-30 18:35:26.736,"46 km SW of Nanwalek, Alaska",1.9,59.0216,-152.4018,71.1
2020-12-30 18:25:58.855,"100 km SSE of Sand Point, Alaska",2.0,54.5088,-159.8862,13.8
2020-12-30 18:24:48.962,"206 km SW of La Cruz de Loreto, Mexico",4.0,18.8531,-107.0019,10.0
2020-12-30 18:24:07.551,"115 km SSE of Sand Point, Alaska",2.6,54.3685,-159.8699,18.37
2020-12-30 18:17:18.801,"14 km SSW of Anchorage, Alaska",1.3,61.1046,-150.0265,55.3
2020-12-30 18:16:10.345,"97 km SE of Sand Point, Alaska",2.1,54.622,-159.6096,27.9
2020-12-30 18:09:41.851,"37 km WNW of Nanwalek, Alaska",1.6,59.539,-152.4847,75.3
2020-12-30 18:06:14.460,"20 km NNW of Chickaloon, Alaska",1.0,61.9711,-148.6102,9.0
2020-12-30 18:05:14.300,"11 km SSW of Tallaboa, Puerto Rico",2.48,17.8986,-66.743,5.0
2020-12-30 17:57:03.240,"40km NNE of Toms Place, CA",2.3,37.9046667,-118.5581667,-0.56
2020-12-30 17:55:19.750,"14km NE of Ridgecrest, CA",1.84,35.7086667,-117.5658333,2.29
2020-12-30 17:50:24.559,"9 km ESE of Jefferson, Oklahoma",1.61,36.691,-97.69083333,7.0
