geometry,name,amenity,building,leisure,cluster
POINT (40.1369769 38.55485759999999),Arıcak YBO,school,,,1
POINT (39.2081284 38.6673194),mehmet zeki işköğretim okulu,school,,,0
POINT (39.158354 38.6371651),Güneykent İlkokulu,school,,,4
POINT (39.1569592 38.6378697),Şehit Korgeneral Osman Erbaş Anadolu Lisesi,school,,,4
POINT (39.1596307 38.636486899999994),Şehit Aytaç Kaya Ortaokulu,school,,,4
POINT (39.15480999999999 38.6392387),,shelter,,,4
POINT (39.1530572 38.6388371),,shelter,,,4
POINT (39.1531376 38.63877610000001),,shelter,,,4
POINT (39.15322299999999 38.63871900000001),,shelter,,,4
POINT (39.15240119999999 38.639406599999994),,shelter,,,4
POINT (39.1524963 38.6393513),,shelter,,,4
POINT (39.1525744 38.63929799999999),,shelter,,,4
POINT (39.1586236 38.6395913),,shelter,,,4
POINT (39.1596767 38.639534399999995),,shelter,,,4
POINT (39.1597888 38.6394732),,shelter,,,4
POINT (39.161207 38.6387553),,shelter,,,4
POINT (39.16128559999999 38.6387089),,shelter,,,4
POINT (39.1621711 38.63789359999999),,shelter,,,4
POINT (39.1508851 38.6378304),,shelter,,,4
POINT (39.150323199999995 38.63726230000001),,shelter,,,4
POINT (39.15043529999999 38.63724259999999),,shelter,,,4
POINT (39.150538899999994 38.6372054),,shelter,,,4
POINT (39.1517013 38.6369691),,shelter,,,4
POINT (39.1517909 38.6369472),,shelter,,,4
POINT (39.1518918 38.6369253),,shelter,,,4
POINT (39.1502652 38.636535),,shelter,,,4
POINT (39.1498872 38.6363197),,shelter,,,4
POINT (39.15065489999999 38.638363899999995),,shelter,,,4
POINT (39.151616100000005 38.6337345),,shelter,,,4
POINT (39.150739 38.635827799999994),,shelter,,,4
POINT (38.72722341123248 38.79941636512628),,school,,,2
POINT (38.72783698250502 38.798114523137194),,school,,,2
POINT (38.74549543028967 38.7919996225352),,school,,,2
POINT (38.73584571966601 38.80127342596451),,,,park,2
POINT (38.73948032085569 38.8022195907539),,school,,,2
POINT (39.252050885362735 38.70388082318528),Harput İ.Ö.O.,school,yes,,0
POINT (39.2988033061489 38.61204526524276),,school,yes,,0
